大項目,項目,詳細,等級
前段,工数見積,要件に基づく工数の算出を行う。その算出根拠を明確に説明する。,B
前段,プロトタイプ制作,短期間で用途・要件に則したプロトタイプを制作する。,A
前段,要員計画,工数・工期・要件に応じた要員計画を立てる。,B
前段,スキーマ定義,プロジェクト、要件に応じた適切なスキーマを定義する。,B
前段,リスク発見・管理,工数・工期・要因計画に影響するリスクを早期に発見し、その解決策を提示する。,B
前段,内部コミュニケーション,社内の他職種のメンバーとコミュケーションをとり、制作設計を円滑に進める。,B
前段,外部コミュケーション,システムベンダーとのコミュケーションをとり、総合的な成果物のクオリティを高める。,B
前段,実装計画,プロジェクトの要件・目的にあった実装計画を立案する。,B
実装,全体設計,要件・プロジェクトに則した制作ガイドを設計する。,B
実装,基幹コーディング,規模の大きいウェブサイトを構築する際にサイト全体に共通で用いる画面構成要素のコーディングを行う。,B
実装,パーツモジュールの設計・制作,ウェブサイトを構成する共通パーツモジュールを設計し制作する。,B
実装,「動き」の実装,"canvas, CSS3, JavaScriptなどを用いた「動き」を実装する。",A
実装,シングルページアプリケーションの実装,MVCフレームワークなどを用いたアプリケーションの実装をする。,S
実装,ルーチンワークの自動化処理,shell script や タスクランナーを用いて制作時のルーチンワークを自動化する。,S
実装,バージョン管理,"SVN, Gitのバージョン管理ツールを使用しソースコードを管理する。",B
実装,バッチ処理ツールの開発,要件・プロジェクトに応じてバッチツールを開発し、大量且つ同一な処理を自動化する。,A
実装,実装ディレクション,複数の外部・内部エンジニアのマネジメント、進行管理、作業指示を行う。,A
実装,パフォーマンス・チューニング,主にJavaScriptのパフォーマンスを改善する。,S
実装,デバック,実装した機能、または他者が制作したもののエラーをデバックする。,B
実装,クオリティ管理,リンクチェック、不要ファイルの精査を行う。,B
実装,ドキュメントライティング,ガイドライン、運用指示書を作成する。,B
実装,フレームワーク・ライブラリの応用,既存のフレームワーク・ライブラリを応用し実装する。,B
実装,アクセシビリティ対応,JIS-8341、WCAG2.0、WAI-ARIAに関する知識を保有している。,A
実装,SEO対応,SEOに効果があるとされている実装方法を知識を保有している。,A
実装,マルチデバイス対応,スマートフォンなどデバイスの特性を理解し、適切な実装を行う。,A
その他,最新情報のキャッチアップ,変化の速いフロント技術に関わる最新の動向を常につかみ、理解し伝播できる。,A
その他,CUI,GUIアプリや特定の環境に依存せずに、実装開発ができる。,S
その他,サーバーサイド言語,"PHP, Ruby, node.jsなどフロントエンド技術以外のプログラミング言語を用いてアプリケーションを制作する",S
その他,コードリード,第三者が制作したコードを読み理解する。,A
その他,クリーンコード,一貫したデザインパターンと読みやすさを意識したプログラムライティングが出来る。,S
その他,インフラ知識,インフラ技術を理解し、総合的な成果物の実装が出来る。,S
その他,ネイティブアプリケーションの開発,"ObjectiveC, Java若しくはPhoneGapなどのフレームワークを用いてネイティブアプリケーションの開発が出来る。",S
その他,プレゼンテーション,社内への技術共有、書籍の執筆、セミナー登壇を行う。,A
